ec5_uuid,created_at,uploaded_at,created_by,title,1_Tree_diameter_ftin,lat_2_Location,long_2_Location,accuracy_2_Location,UTM_Northing_2_Location,UTM_Easting_2_Location,UTM_Zone_2_Location,3_Date,4_Time,5_Photo,6_Video
6faee90f-384a-457d-b2d1-fee8953bafe6,2024-08-03T15:15:07.000Z,2024-08-03T15:27:12.000Z,gladcolor@gmail.com,6faee90f-384a-457d-b2d1-fee8953bafe6,3-3,33.991176,-81.009903,3,3761177,499085,17S,2024/08/03,11:14:55,6faee90f-384a-457d-b2d1-fee8953bafe6_1722698104.jpg,
f4e9ae46-5436-4550-b0ea-c12b80ec3947,2024-08-03T15:13:59.000Z,2024-08-03T15:27:07.000Z,gladcolor@gmail.com,f4e9ae46-5436-4550-b0ea-c12b80ec3947,1-11,33.991076,-81.009721,3,3761166,499102,17S,2024/08/03,11:13:47,f4e9ae46-5436-4550-b0ea-c12b80ec3947_1722698037.jpg,
189b47b6-fe34-4d3f-865f-f5958b7422e2,2024-08-03T15:13:12.000Z,2024-08-03T15:27:03.000Z,gladcolor@gmail.com,189b47b6-fe34-4d3f-865f-f5958b7422e2,1-9,33.991074,-81.009616,2,3761166,499111,17S,2024/08/03,11:12:59,189b47b6-fe34-4d3f-865f-f5958b7422e2_1722697989.jpg,
4e91d6d3-e0f1-47eb-bc97-8836cbc89aab,2024-08-03T15:12:23.000Z,2024-08-03T15:26:57.000Z,gladcolor@gmail.com,4e91d6d3-e0f1-47eb-bc97-8836cbc89aab,3-1,33.991031,-81.009415,3,3761161,499130,17S,2024/08/03,11:12:13,4e91d6d3-e0f1-47eb-bc97-8836cbc89aab_1722697940.jpg,
21179720-ae03-4a12-b751-ae49278b1dc9,2024-08-03T15:10:43.000Z,2024-08-03T15:26:52.000Z,gladcolor@gmail.com,21179720-ae03-4a12-b751-ae49278b1dc9,7-0,33.990955,-81.008814,3,3761153,499185,17S,2024/08/03,11:10:29,21179720-ae03-4a12-b751-ae49278b1dc9_1722697840.jpg,
acddebd5-fab4-48b4-8a29-89a8317a3517,2024-08-03T15:09:29.000Z,2024-08-03T15:26:47.000Z,gladcolor@gmail.com,acddebd5-fab4-48b4-8a29-89a8317a3517,2-2,33.990999,-81.008578,2,3761157,499207,17S,2024/08/03,11:09:19,acddebd5-fab4-48b4-8a29-89a8317a3517_1722697766.jpg,
5b4c0d18-3f02-42d2-86ad-9dcadf6d6b3a,2024-08-03T15:08:25.000Z,2024-08-03T15:26:42.000Z,gladcolor@gmail.com,5b4c0d18-3f02-42d2-86ad-9dcadf6d6b3a,3-0,33.991033,-81.008337,2,3761161,499230,17S,2024/08/03,11:08:13,5b4c0d18-3f02-42d2-86ad-9dcadf6d6b3a_1722697701.jpg,
df52eb7b-0a65-4500-bc0d-fe48193fd155,2024-08-03T15:07:39.000Z,2024-08-03T15:26:37.000Z,gladcolor@gmail.com,df52eb7b-0a65-4500-bc0d-fe48193fd155,2-3,33.990992,-81.008257,3,3761157,499237,17S,2024/08/03,11:07:28,df52eb7b-0a65-4500-bc0d-fe48193fd155_1722697656.jpg,
7032fe07-1af3-4962-b1ec-953c1a9b7461,2024-08-03T15:06:43.000Z,2024-08-03T15:26:32.000Z,gladcolor@gmail.com,7032fe07-1af3-4962-b1ec-953c1a9b7461,1-9,33.990913,-81.008094,3,3761148,499252,17S,2024/08/03,11:06:32,7032fe07-1af3-4962-b1ec-953c1a9b7461_1722697600.jpg,
2c9638d6-5d15-49e2-bbb3-643828ecb646,2024-08-03T15:05:36.000Z,2024-08-03T15:26:27.000Z,gladcolor@gmail.com,2c9638d6-5d15-49e2-bbb3-643828ecb646,2-9,33.990926,-81.007818,3,3761149,499277,17S,2024/08/03,11:05:24,2c9638d6-5d15-49e2-bbb3-643828ecb646_1722697532.jpg,
52333378-0503-453f-b5fd-2d1fddd8fc38,2024-08-03T15:04:48.000Z,2024-08-03T15:26:22.000Z,gladcolor@gmail.com,52333378-0503-453f-b5fd-2d1fddd8fc38,3-0,33.990966,-81.007859,3,3761154,499274,17S,2024/08/03,11:04:37,52333378-0503-453f-b5fd-2d1fddd8fc38_1722697485.jpg,
e2212ee8-e4e4-427c-8d36-1d107c89200b,2024-08-03T15:03:59.000Z,2024-08-03T15:26:17.000Z,gladcolor@gmail.com,e2212ee8-e4e4-427c-8d36-1d107c89200b,2-7,33.990967,-81.007711,3,3761154,499287,17S,2024/08/03,11:03:47,e2212ee8-e4e4-427c-8d36-1d107c89200b_1722697435.jpg,
c7deac92-a11d-40b0-810c-431b04cd0584,2024-08-03T15:02:28.000Z,2024-08-03T15:26:12.000Z,gladcolor@gmail.com,c7deac92-a11d-40b0-810c-431b04cd0584,4-8,33.990929,-81.007631,3,3761150,499295,17S,2024/08/03,11:02:17,c7deac92-a11d-40b0-810c-431b04cd0584_1722697345.jpg,
a5f582b8-e105-4d9d-87ae-87642bf8cc32,2024-08-03T15:01:24.000Z,2024-08-03T15:26:07.000Z,gladcolor@gmail.com,a5f582b8-e105-4d9d-87ae-87642bf8cc32,2-8,33.990885,-81.00739,2,3761145,499317,17S,2024/08/03,11:01:12,a5f582b8-e105-4d9d-87ae-87642bf8cc32_1722697280.jpg,
