ec5_uuid,created_at,uploaded_at,created_by,title,1_Tree_diameter_ftin,lat_2_Location,long_2_Location,accuracy_2_Location,UTM_Northing_2_Location,UTM_Easting_2_Location,UTM_Zone_2_Location,3_Date,4_Time,5_Photo,6_Video
f7be75ef-568e-41f4-a23e-1c362daa3211,2023-11-26T15:51:04.000Z,2023-12-05T21:12:38.000Z,gladcolor@gmail.com,f7be75ef-568e-41f4-a23e-1c362daa3211,8-3,33.991082,-81.011434,4,3761167,498943,17S,2023/11/26,10:50:21,f7be75ef-568e-41f4-a23e-1c362daa3211_1701013861.jpg,
4f678d9e-12b2-47b5-8bab-41c766e4240e,2023-11-26T15:49:21.000Z,2023-12-05T21:12:36.000Z,gladcolor@gmail.com,4f678d9e-12b2-47b5-8bab-41c766e4240e,5-7,33.991035,-81.011503,4,3761162,498937,17S,2023/11/26,10:48:53,4f678d9e-12b2-47b5-8bab-41c766e4240e_1701013756.jpg,
6af7269d-6e88-45d5-a1e2-5a20282eefc7,2023-11-26T15:48:02.000Z,2023-12-05T21:12:34.000Z,gladcolor@gmail.com,6af7269d-6e88-45d5-a1e2-5a20282eefc7,8-0,33.990948,-81.011773,4,3761152,498912,17S,2023/11/26,10:47:26,6af7269d-6e88-45d5-a1e2-5a20282eefc7_1701013676.jpg,
3e1d95ee-5c7b-44b9-8479-d7d393b0472b,2023-11-26T15:45:25.000Z,2023-12-05T21:12:32.000Z,gladcolor@gmail.com,3e1d95ee-5c7b-44b9-8479-d7d393b0472b,7-0,33.990832,-81.011882,4,3761139,498902,17S,2023/11/26,10:45:02,3e1d95ee-5c7b-44b9-8479-d7d393b0472b_1701013522.jpg,
ea899df8-6bb6-48d1-8116-8078c83f7764,2023-11-26T15:44:11.000Z,2023-12-05T21:12:30.000Z,gladcolor@gmail.com,ea899df8-6bb6-48d1-8116-8078c83f7764,5-4,33.990679,-81.011877,4,3761122,498903,17S,2023/11/26,10:43:45,ea899df8-6bb6-48d1-8116-8078c83f7764_1701013446.jpg,
6db0ee52-44b7-4a7b-96d6-9fbdf13e002f,2023-11-26T15:43:25.000Z,2023-12-05T21:12:29.000Z,gladcolor@gmail.com,6db0ee52-44b7-4a7b-96d6-9fbdf13e002f,0-11,33.990569,-81.011754,4,3761110,498914,17S,2023/11/26,10:42:39,6db0ee52-44b7-4a7b-96d6-9fbdf13e002f_1701013375.jpg,
ef594190-a1d7-4071-bcdd-95184acca27e,2023-11-26T15:41:55.000Z,2023-12-05T21:12:27.000Z,gladcolor@gmail.com,ef594190-a1d7-4071-bcdd-95184acca27e,6-4,33.990538,-81.011716,4,3761106,498917,17S,2023/11/26,10:41:31,ef594190-a1d7-4071-bcdd-95184acca27e_1701013310.jpg,
1ad6e2f1-445e-40ae-bd04-cff04d7629da,2023-11-26T15:40:29.000Z,2023-12-05T21:12:25.000Z,gladcolor@gmail.com,1ad6e2f1-445e-40ae-bd04-cff04d7629da,6-8,33.990406,-81.011472,3,3761092,498940,17S,2023/11/26,10:40:03,1ad6e2f1-445e-40ae-bd04-cff04d7629da_1701013222.jpg,
6bb38748-8ac3-43f7-988f-36d194725f7f,2023-11-26T15:39:05.000Z,2023-12-05T21:12:23.000Z,gladcolor@gmail.com,6bb38748-8ac3-43f7-988f-36d194725f7f,0-10,33.990344,-81.01137,4,3761085,498949,17S,2023/11/26,10:38:44,6bb38748-8ac3-43f7-988f-36d194725f7f_1701013141.jpg,
f7a99432-9da9-4042-801f-c510e6c14819,2023-11-26T15:38:09.000Z,2023-12-05T21:12:21.000Z,gladcolor@gmail.com,f7a99432-9da9-4042-801f-c510e6c14819,4-0,33.990241,-81.011275,4,3761073,498958,17S,2023/11/26,10:37:47,f7a99432-9da9-4042-801f-c510e6c14819_1701013084.jpg,
0f536e52-040c-4472-b25a-393ef91f7213,2023-11-26T15:37:29.000Z,2023-12-05T21:12:19.000Z,gladcolor@gmail.com,0f536e52-040c-4472-b25a-393ef91f7213,4-3,33.990205,-81.01112,4,3761069,498972,17S,2023/11/26,10:36:39,0f536e52-040c-4472-b25a-393ef91f7213_1701013023.jpg,
